Formula,Fractional Enrichment,Fractional Enrichment with zero,Label,Name,Sample,Truth Value_x,Intensity,Unlabeled Fragment,Indistinguishale_isotope,NA Corrected,NA Corrected with zero,Pool_total,Truth Value_y
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_5i,False,0.0,pantothenate,{},-0.0001462316,0.0,3024169.24967,True
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_120i,False,0.0,pantothenate,{},-0.0001580231,0.0,3297901.44372,True
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_5M,False,117.6771,pantothenate,{},116.297555731,116.297555731,4214962.62651,False
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_240M,False,0.0,pantothenate,{},-0.0006929356,0.0,3948330.30116,True
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_15i,False,0.0,pantothenate,{},3.5e-09,3.5e-09,2614836.62687,False
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_240i,False,0.0,pantothenate,{},-0.0002192612,0.0,3055145.9894,True
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_15M,False,0.0,pantothenate,{},0.0173439371,0.0173439371,3821307.96604,False
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_120M,False,0.0,pantothenate,{},0.0169505422,0.0169505422,3949461.56604,False
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_3i,False,0.0,pantothenate,{},-0.0001429777,0.0,3017398.16979,True
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_1M,False,0.0,pantothenate,{},-1.5647841643,0.0,4213029.9702,True
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_45i,False,0.0,pantothenate,{},3e-09,3e-09,2634572.08866,False
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_3M,False,0.0,pantothenate,{},-0.0006216313,0.0,3756408.74576,True
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_1i,False,0.0,pantothenate,{},-0.000389199,0.0,3077124.43744,True
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_45M,False,0.0,pantothenate,{},-0.0006409294,0.0,3712238.01587,True
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_0i,False,0.0,pantothenate,{},2.5798e-06,2.5798e-06,3050131.76743,False
C9H17NO5,0.0,0.0,C13-label-9,pantothenate,091215_0M,False,0.0,pantothenate,{},-1.5036706829,0.0,4104039.78393,True
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_5i,False,0.0,pantothenate,{},0.0393656069,0.0393656069,3024169.24967,False
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_120i,False,0.0,pantothenate,{},0.042343602,0.042343602,3297901.44372,False
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_5M,False,124.7824,pantothenate,{},122.444828455,122.444828455,4214962.62651,False
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_240M,False,0.0,pantothenate,{},0.1866475384,0.1866475384,3948330.30116,False
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_15i,False,0.0,pantothenate,{},-1.9639e-06,0.0,2614836.62687,True
C9H17NO5,0.0,0.0,C13-label-8,pantothenate,091215_240i,False,0.0,pantothenate,{},0.0590769119,0.0590769119,3055145.9894,False
